"gene" "label"
"RP5-864K19.4" "None"
"MYCBP" "None"
"RHBDL2" "None"
"AKIRIN1" "None"
"NDUFS5" "None"
"MACF1" "LSECs"
"BMP8A" "None"
"RP11-69E11.4" "None"
"PABPC4" "NonInfl_Mac"
"HEYL" "None"
"PPIE" "None"
"BMP8B" "None"
"OXCT2" "None"
"TRIT1" "None"
"MYCL" "None"
"MFSD2A" "Hep"
"CAP1" "any_T_cell"
"PPT1" "NonInfl_Mac"
"RLF" "None"
"TMCO2" "None"
"RP1-39G22.7" "None"
"ZMPSTE24" "None"
"COL9A2" "None"
"SMAP2" "None"
"ZFP69B" "None"
"ZFP69" "None"
"RP11-656D10.3" "None"
"EXO5" "None"
"ZNF684" "None"
"RIMS3" "None"
"NFYC-AS1" "None"
"NFYC" "None"
"CITED4" "Cholan"
"CTPS1" "None"
"SLFNL1-AS1" "None"
"SCMH1" "None"
"FOXO6" "None"
"EDN2" "None"
"HIVEP3" "None"
"GUCA2B" "None"
"FOXJ3" "None"
"RIMKLA" "None"
"ZMYND12" "None"
"PPCS" "None"
"CCDC30" "None"
"PPIH" "any_T_cell"
"RP5-994D16.3" "None"
"YBX1" "Mac"
"CLDN19" "None"
"P3H1" "None"
"C1orf50" "None"
"SVBP" "None"
"ERMAP" "None"
"RP11-342M1.3" "None"
"ZNF691" "None"
"SLC2A1" "Erythroid"
"SLC2A1-AS1" "None"
"EBNA1BP2" "None"
"CFAP57" "None"
"TMEM125" "Cholan"
"C1orf210" "Cholan"
"TIE1" "None"
"RP1-92O14.3" "None"
"CDC20" "gd_T_2"
"ELOVL1" "None"
"MED8" "None"
"SZT2" "None"
"HYI" "None"
"HYI-AS1" "None"
"PTPRF" "None"
"KDM4A" "None"
"KDM4A-AS1" "None"
"ST3GAL3" "None"
"IPO13" "None"
"DPH2" "None"
"ATP6V0B" "None"
"B4GALT2" "None"
"CCDC24" "None"
"SLC6A9" "None"
"RP5-1198O20.4" "None"
"DMAP1" "None"
"ERI3" "None"
"RNF220" "None"
"TMEM53" "Hep"
"C1orf228" "None"
"KIF2C" "gd_T_2"
"RPS8" "any_B_cell"
"BEST4" "None"
"PLK3" "None"
"TCTEX1D4" "None"
"BTBD19" "None"
"PTCH2" "None"
"EIF2B3" "None"
"HECTD3" "None"
"UROD" "None"
"ZSWIM5" "None"
"LINC01144" "None"
"HPDL" "None"
"MUTYH" "None"
"TOE1" "None"
"TESK2" "None"
"CCDC163P" "None"
"MMACHC" "None"
"PRDX1" "Hep"
"AKR1A1" "Hep"
"NASP" "gd_T_2"
"CCDC17" "None"
"GPBP1L1" "PortHep"
"TMEM69" "None"
"IPP" "None"
"MAST2" "None"
"TSPAN1" "None"
"POMGNT1" "None"
"LURAP1" "None"
"RAD54L" "None"
"LRRC41" "None"
"UQCRH" "any_B_cell"
"NSUN4" "None"
"FAAH" "None"
"MKNK1" "None"
"MOB3C" "None"
"ATPAF1" "None"
"EFCAB14" "None"
"CYP4B1" "None"
"CYP4A11" "Hep"
"CYP4X1" "None"
"CYP4A22" "Hep"
"LINC00853" "None"
"PDZK1IP1" "None"
"TAL1" "Erythroid"
"RP1-18D14.7" "None"
"STIL" "gd_T_2"
"CMPK1" "None"
"LINC01389" "None"
"FOXD2-AS1" "None"
"FOXD2" "None"
"TRABD2B" "None"
"SLC5A9" "None"
"RP5-1024N4.4" "None"
"SPATA6" "None"
"AGBL4" "None"
"BEND5" "None"
"ELAVL4" "None"
"RP11-567C20.2" "None"
"FAF1" "gd_T_2"
"CDKN2C" "gd_T_2"
"RNF11" "None"
"TTC39A" "None"
"TTC39A-AS1" "None"
"EPS15" "None"
"RP11-191G24.1" "None"
"OSBPL9" "PortHep"
"NRDC" "PortHep"
"RP4-657D16.3" "None"
"RAB3B" "None"
"TXNDC12" "gd_T_2"
"KTI12" "None"
"RP11-91A18.4" "None"
"BTF3L4" "None"
"ZFYVE9" "None"
"CC2D1B" "None"
"ORC1" "None"
"PRPF38A" "any_T_cell"
"ZCCHC11" "None"
"GPX7" "None"
"FAM159A" "None"
"COA7" "None"
"ZYG11B" "None"
"ZYG11A" "None"
"ECHDC2" "Hep"
"SCP2" "Hep"
"PODN" "Stellate"
"SLC1A7" "None"
"CPT2" "None"
"RP5-1024G6.2" "None"
"C1orf123" "None"
"RP5-1024G6.7" "None"
"MAGOH" "gd_T_2"
"RP5-1024G6.5" "None"
"LRP8" "None"
"RP11-117D22.2" "None"
"NDC1" "None"
"YIPF1" "None"
"DIO1" "Hep"
"HSPB11" "gd_T_2"
"LRRC42" "None"
"TMEM59" "None"
"TCEANC2" "None"
"RP11-446E24.4" "None"
"CYB5RL" "Portal_Endo"
"MRPL37" "Hep"
"SSBP3" "None"
"SSBP3-AS1" "None"
"ACOT11" "None"
"FAM151A" "None"
"MROH7" "None"
"TTC4" "None"
"PARS2" "None"
"TTC22" "None"
"LEXM" "None"
"DHCR24" "Hep"
"RP11-67L3.4" "None"
"PCSK9" "PortHep"
"USP24" "None"
"RP11-90C4.1" "None"
"RP11-504A18.1" "None"
"RP4-710M16.2" "None"
"PLPP3" "LSECs"
"PRKAA2" "None"
"C1orf168" "PortHep"
"C8A" "Hep"
"C8B" "Hep"
"RP5-1103B4.3" "None"
"DAB1" "None"
"OMA1" "None"
"TACSTD2" "Cholan"
"MYSM1" "None"
"JUN" "None"
"LINC01135" "None"
"RP4-794H19.1" "None"
"LINC01358" "None"
"FGGY" "Cholan"
"HOOK1" "None"
"CYP2J2" "None"
"RP11-776H12.1" "None"
"NFIA" "None"
"TM2D1" "None"
"RP11-430G17.3" "None"
"INADL" "None"
"L1TD1" "None"
"KANK4" "None"
"USP1" "gd_T_2"
"DOCK7" "None"
"ANGPTL3" "Hep"
"RP11-230B22.1" "None"
"ATG4C" "None"
"RP11-5P4.1" "None"
"ALG6" "None"
"ITGB3BP" "gd_T_2"
"EFCAB7" "None"
"PGM1" "Hep"
"ROR1" "None"
"CACHD1" "None"
"RAVER2" "None"
"JAK1" "None"
"RP4-535B20.4" "None"
"AK4" "Hep"
"DNAJC6" "None"
"LEPROT" "None"
"LEPR" "PortHep"
"PDE4B" "None"
"SGIP1" "None"
"TCTEX1D1" "None"
"WDR78" "None"
"MIER1" "None"
"SLC35D1" "Hep"
"IL23R" "None"
